"","Time","TimeNum","Area","Volume","Volumeerr","Volumeerrmax","Levelerr"
"1",1992275,1992.83333333333,8421.57,35.6201897240719,3.40179066995667,NA,0.006
"2",1992306,1993,NA,NA,NA,NA,NA
"3",1992336,1993.08333333333,NA,NA,NA,NA,NA
"4",1993001,1993.16666666667,NA,NA,NA,NA,NA
"5",1993032,1993.25,NA,NA,NA,NA,NA
"6",1993060,1993.33333333333,NA,NA,NA,NA,NA
"7",1993091,1993.41666666667,8225.5,34.1841225947867,3.37587040047358,NA,0.006
"8",1993121,1993.5,8373.36,35.2680542997431,3.39547290093997,NA,0.006
"9",1993152,1993.58333333333,8319.74,34.8756753628114,3.3884040677539,NA,0.006
"10",1993182,1993.66666666667,8372.58,35.2623519808169,3.39537039147478,NA,0.006
"11",1993213,1993.75,8313.65,34.8310606892575,3.38759837317236,NA,0.006
"12",1993244,1993.83333333333,NA,NA,NA,NA,NA
"13",1993274,1993.91666666667,8306.94,34.7818921419706,3.38670997866731,NA,0.006
"14",1993305,1994,NA,NA,NA,NA,NA
"15",1993335,1994.08333333333,NA,NA,NA,NA,NA
"16",1994001,1994.16666666667,NA,NA,NA,NA,NA
"17",1994032,1994.25,NA,NA,NA,NA,NA
"18",1994060,1994.33333333333,NA,NA,NA,NA,NA
"19",1994091,1994.41666666667,NA,NA,NA,NA,NA
"20",1994121,1994.5,8280.12,34.5852398196472,3.38315194771823,NA,0.006
"21",1994152,1994.58333333333,8307,34.7823318561594,3.38671792572352,NA,0.006
"22",1994182,1994.66666666667,8071.27,33.0467474721671,3.35504565929848,NA,0.006
"23",1994213,1994.75,8408.34,35.5236158588898,3.40006045356622,NA,0.006
"24",1994244,1994.83333333333,8188.81,33.914196711221,3.37095207455809,NA,0.006
"25",1994274,1994.91666666667,8123.43,33.4322106315331,3.36213291703343,NA,0.006
"26",1994305,1995,NA,NA,NA,NA,NA
"27",1994335,1995.08333333333,NA,NA,NA,NA,NA
"28",1995001,1995.16666666667,NA,NA,NA,NA,NA
"29",1995032,1995.25,NA,NA,NA,NA,NA
"30",1995060,1995.33333333333,NA,NA,NA,NA,NA
"31",1995091,1995.41666666667,8156.07,33.6729956217006,3.36654461501897,NA,0.006
"32",1995121,1995.5,8235.7,34.2590938468326,3.37723383399208,NA,0.006
"33",1995152,1995.58333333333,8184.42,33.881873329433,3.3703621177236,NA,0.006
"34",1995182,1995.66666666667,8075.52,33.078186779078,3.35562485770336,NA,0.006
"35",1995213,1995.75,7976.97,32.3476754168481,3.34211401953684,NA,0.006
"36",1995244,1995.83333333333,7984.21,32.4014503060054,3.34311236435579,NA,0.006
"37",1995274,1995.91666666667,7775.47,30.8437860329703,3.31394809157811,NA,0.006
"38",1995305,1996,NA,NA,NA,NA,NA
"39",1995335,1996.08333333333,NA,NA,NA,NA,NA
"40",1996001,1996.16666666667,NA,NA,NA,NA,NA
"41",1996032,1996.25,NA,NA,NA,NA,NA
"42",1996061,1996.33333333333,NA,NA,NA,NA,NA
"43",1996092,1996.41666666667,7762.46,30.7461842268738,3.3121035967822,NA,0.006
"44",1996122,1996.5,8087.05,33.1634512101332,3.35719463808269,NA,0.006
"45",1996153,1996.58333333333,NA,NA,NA,NA,NA
"46",1996183,1996.66666666667,7611.93,29.6121501690953,3.2905227241242,NA,0.006
"47",1996214,1996.75,7498.25,28.7496142053694,3.27392215366987,NA,0.006
"48",1996245,1996.83333333333,7381.46,27.8575777183149,2.71381859211919,NA,0.005
"49",1996275,1996.91666666667,7345.75,27.5835677293282,2.70935055734239,NA,0.005
"50",1996306,1997,NA,NA,NA,NA,NA
"51",1996336,1997.08333333333,NA,NA,NA,NA,NA
"52",1997001,1997.16666666667,NA,NA,NA,NA,NA
"53",1997032,1997.25,NA,NA,NA,NA,NA
"54",1997060,1997.33333333333,7045.21,25.2518616124248,2.6707627930854,NA,0.005
"55",1997091,1997.41666666667,7354.18,27.6483074989773,2.71040746341192,NA,0.005
"56",1997121,1997.5,7279.76,27.0756765015055,2.70103202974968,NA,0.005
"57",1997152,1997.58333333333,7261.99,26.9386043984389,2.69877876514242,NA,0.005
"58",1997182,1997.66666666667,7112.02,25.774329015904,2.67949799137115,NA,0.005
"59",1997213,1997.75,7036.06,25.1801022590543,2.66955900284226,NA,0.005
"60",1997244,1997.83333333333,6918.3,24.252129778723,2.6539037164081,NA,0.005
"61",1997274,1997.91666666667,6825.34,23.513498353777,2.64132514503873,NA,0.005
"62",1997305,1998,NA,NA,NA,NA,NA
"63",1997335,1998.08333333333,NA,NA,NA,NA,NA
"64",1998001,1998.16666666667,NA,NA,NA,NA,NA
"65",1998032,1998.25,NA,NA,NA,NA,NA
"66",1998060,1998.33333333333,NA,NA,NA,NA,NA
"67",1998091,1998.41666666667,NA,NA,NA,NA,NA
